
"Storeking Purchase Order No : ",6808
Slno,"Product Refno","Product Name",MRP,"Order Qty"
1,155738,"Lava Iris 349s",4299.0000,5
2,155828,"Nokia 107",1800.0000,5
3,152931,"Nokia 105 (Black)",1359.0000,4
4,155926,"Samsung Star Pro (Midnight Black)",7120.0000,3
5,150890,"Samsung Galaxy Star S5282 (Black)",5780.0000,2
