
"Storeking Purchase Order No : ",6809
Slno,"Product Refno","Product Name",MRP,"Order Qty"
1,3306,"DNC Oriflame North For Men - Normal Skin Shaving Gel 60ml",99.0000,3
2,3225,"Oriflame 2 in 1 Protecting Hand & Nail Cream 100ml (Code:11288)",246.0000,2
3,2952,"Oriflame Absolute Concealer For Eyes Pink 10ml (Code:12819)",219.0000,3
