
"Storeking Purchase Order No : ",6804
Slno,"Product Refno","Product Name",MRP,"Order Qty"
1,155738,"Lava Iris 349s",4299.0000,6
2,155828,"Nokia 107",1889.0000,6
3,152931,"Nokia 105 (Black)",1359.0000,4
4,123821,"Samsung Galaxy Grand Duos I9082 (Metallic Blue)",20350.0000,6
