
"Storeking Purchase Order No : ",6796
Slno,"Product Refno","Product Name",MRP,"Order Qty"
1,9037,"Amzer 90806 Neoprene Sleeve 7.5-inch Reversible Carry Case Cover for Micromax Funbook / BlackBerry Playbook (Ebony Black & Sea Green)",795.0000,4
2,25710,"Amzer  Silicone Skin Jelly Case - Blue For Samsung Galaxy Tab 101 P7100",1040.0000,3
